 machine, workload," CPU frequency, GHz", experiment,"Median Power Consumption, Joules","Max Power Consumption, Joules","Min Power Consumption, Joules",Median Benchmark Score,Max Benchmark Score,Min Benchmark Score,"Median Time Elapsed, s","Max Time Elapsed, s","Min Time Elapsed, s","Median Battery Consumption, Joules","Max Battery Consumption, Joules","Min Battery Consumption, Joules",Median experiment_id,Max experiment_id,Min experiment_id,Median Score per Joule,Max Score per Joule,Min Score per Joule, Runs
azure,atlas-gen-bmk,,azure,2606.54738,3056.12196,1238.30154,55.2025,55.6285,54.315,620.31,655.186,494.003,,,,5.0,5,5,0.021160817398002192,0.044607874750765476,0.017830603854566068,10
azure,belle2-gen-sim-reco-bmk,,azure,32.95844565,96.07780000000001,22.174713,60.261250000000004,61.8765,59.3915,349.4715,364.088,343.135,,,,4.0,4,4,1.8169342506447568,2.777600774359515,0.644024946449648,10
azure,cms-reco-bmk,,azure,177.0052325,741.229192,141.487191,57.314750000000004,63.6515,56.303,673.953,852.968,617.016,,,,6.0,6,6,0.33058628874433094,0.39919161304149436,0.0760547487989383,10
local,atlas-gen-bmk,1.4,local-1.4,11043.0,11228.38,9420.36,82.73275000000001,83.4605,82.5375,1480.7899896365,1486.99779928,1260.978787433,15674.399999999998,16984.8,11757.599999999993,2.0,2,2,0.007491897111236394,0.008859587107074463,0.0073507932577985425,6
local,atlas-gen-bmk,1.7,local-1.7,10347.2,10481.88,8850.24,100.039,100.82,99.897,1223.533937923,1231.621489258,1047.964500174,13064.400000000001,15678.000000000002,11757.599999999993,2.0,2,2,0.009654495902273078,0.011391781465813357,0.009543994016340582,5
local,atlas-gen-bmk,2.1,local-2.1,11263.58,12233.82,10272.6,142.284,143.9525,141.148,767.3931510499999,829.347993678,702.088337921,15022.8,16984.8,13064.399999999992,2.0,2,2,0.012715096738266896,0.01391303078091233,0.011578149752080708,6
local,belle2-gen-sim-reco-bmk,1.4,local-1.4,5927.65,6023.65,5907.67,85.697,85.7325,85.2355,688.592842435,690.952235036,685.78689381,,,,0.0,0,0,0.014463151501859929,0.014506057379643751,0.014150141525487039,5
local,belle2-gen-sim-reco-bmk,1.7,local-1.7,5439.705,5492.29,5242.42,102.666,103.163,98.903,570.6557651584999,586.475783026,568.284527061,9143.999999999996,9143.999999999996,7837.199999999999,0.0,1,0,0.018861322298164347,0.018972025627937802,0.018740636661405255,8
local,belle2-gen-sim-reco-bmk,2.1,local-2.1,6244.875,6960.44,6133.62,137.33175,142.1775,135.8585,417.033573834,455.403327289,394.554305465,9143.999999999996,9143.999999999996,9143.999999999996,0.0,1,0,0.02205764243407119,0.02234080363635178,0.020426510393021135,8
local,cms-reco-bmk,1.4,local-1.4,9562.93,9584.56,9550.91,93.507,93.5425,93.365,1247.723236704,1249.738642802,1247.326508613,11757.599999999993,13064.399999999998,10450.799999999996,3.0,3,3,0.009763221104828749,0.009790375995585762,0.009759707279207393,3
local,cms-reco-bmk,1.7,local-1.7,8882.93,8896.69,8854.06,112.9965,113.245,112.9255,1031.515007955,1031.82878724,1029.750070597,11757.600000000006,13064.399999999998,11757.599999999993,3.0,3,3,0.012720633844913783,0.012790177613433838,0.01269297907423997,3
local,cms-reco-bmk,2.1,local-2.1,10467.61,10480.08,10456.1,158.7205,159.0045,158.543,701.146643564,702.167037248,700.339835328,14367.599999999999,14371.2,13064.400000000005,3.0,3,3,0.015163012378183748,0.015206864892263847,0.01512803337379104,3
