"CPU frequency, GHz","Power Consumption, Joules",Benchmark Score,"Time Elapsed, s","Battery Consumption, Joules",machine,workload,experiment_id,Score per Joule,experiment
2.1,6960.44,142.1775,394.554305465,,local,belle2-gen-sim-reco-bmk,0,0.020426510393021135,local-2.1
1.7,5480.15,102.7015,570.472855917,,local,belle2-gen-sim-reco-bmk,0,0.018740636661405255,local-1.7
1.4,5944.53,85.6615,688.603035361,,local,belle2-gen-sim-reco-bmk,0,0.014410138396138973,local-1.4
2.1,6267.85,137.6335,420.26346409,,local,belle2-gen-sim-reco-bmk,0,0.021958646106719208,local-2.1
1.7,5492.29,103.163,570.8386744,,local,belle2-gen-sim-reco-bmk,0,0.018783239777943262,local-1.7
1.7,5468.11,103.163,569.949295291,,local,belle2-gen-sim-reco-bmk,0,0.018866299324629535,local-1.7
2.1,6210.68,138.308,416.563654781,,local,belle2-gen-sim-reco-bmk,0,0.02226938113056863,local-2.1
2.1,6221.9,138.308,417.503492887,,local,belle2-gen-sim-reco-bmk,0,0.022229222584740995,local-2.1
1.4,5925.72,85.7325,690.952235036,,local,belle2-gen-sim-reco-bmk,0,0.01446786213320913,local-1.4
1.4,5927.65,85.7325,688.592842435,,local,belle2-gen-sim-reco-bmk,0,0.014463151501859929,local-1.4
1.4,6023.65,85.2355,686.217578543,,local,belle2-gen-sim-reco-bmk,0,0.014150141525487039,local-1.4
1.7,5452.17,102.808,568.72239361,,local,belle2-gen-sim-reco-bmk,0,0.01885634527169916,local-1.7
2.1,6272.95,136.533,420.991644595,,local,belle2-gen-sim-reco-bmk,0,0.02176535760686758,local-2.1
1.7,5427.24,102.6305,568.284527061,,local,belle2-gen-sim-reco-bmk,0,0.01891025641025641,local-1.7
1.4,5907.67,85.697,685.78689381,,local,belle2-gen-sim-reco-bmk,0,0.014506057379643751,local-1.4
2.1,6640.25,135.8585,455.403327289,9143.999999999996,local,belle2-gen-sim-reco-bmk,1,0.020459847144309325,local-2.1
1.7,5260.5,98.903,586.475783026,9143.999999999996,local,belle2-gen-sim-reco-bmk,1,0.018801064537591484,local-1.7
1.7,5242.42,99.3645,585.149759048,7837.199999999999,local,belle2-gen-sim-reco-bmk,1,0.018953937303764292,local-1.7
2.1,6154.16,136.3555,412.031695202,9143.999999999996,local,belle2-gen-sim-reco-bmk,1,0.02215663876142317,local-2.1
1.7,5250.52,99.613,583.32974977,9143.999999999996,local,belle2-gen-sim-reco-bmk,1,0.018972025627937802,local-1.7
2.1,6133.62,137.03,410.250283694,9143.999999999996,local,belle2-gen-sim-reco-bmk,1,0.02234080363635178,local-2.1
2.1,10272.6,142.923,702.088337921,14367.599999999999,local,atlas-gen-bmk,2,0.01391303078091233,local-2.1
1.7,10481.88,100.039,1223.533937923,13064.399999999992,local,atlas-gen-bmk,2,0.009543994016340582,local-1.7
2.1,12233.82,141.645,829.347993678,15674.399999999998,local,atlas-gen-bmk,2,0.011578149752080708,local-2.1
1.4,11196.73,82.6085,1481.351460951,16984.8,local,atlas-gen-bmk,2,0.007377913015675113,local-1.4
2.1,10387.99,143.0295,707.696130447,13064.399999999992,local,atlas-gen-bmk,2,0.013768736781610303,local-2.1
1.7,10347.2,99.897,1231.621489258,14371.200000000003,local,atlas-gen-bmk,2,0.009654495902273078,local-1.7
1.7,8876.98,100.5715,1053.577119216,11757.599999999993,local,atlas-gen-bmk,2,0.011329472410662185,local-1.7
1.4,11066.81,82.786,1486.99779928,15674.399999999998,local,atlas-gen-bmk,2,0.007480565763756675,local-1.4
2.1,12129.22,141.148,825.090515485,16984.8,local,atlas-gen-bmk,2,0.011637022001414766,local-2.1
2.1,10397.94,143.9525,709.695786615,14371.200000000003,local,atlas-gen-bmk,2,0.013844328780508446,local-2.1
1.4,9450.41,83.1055,1260.978787433,11757.599999999993,local,atlas-gen-bmk,2,0.008793851272061212,local-1.4
1.4,11228.38,82.5375,1482.677605995,15674.399999999998,local,atlas-gen-bmk,2,0.0073507932577985425,local-1.4
1.4,11019.19,82.6795,1480.228518322,15677.999999999989,local,atlas-gen-bmk,2,0.007503228458716113,local-1.4
1.7,10466.65,100.039,1224.484021724,15678.000000000002,local,atlas-gen-bmk,2,0.009557881461594685,local-1.7
2.1,12143.38,141.6095,825.592101467,16981.199999999997,local,atlas-gen-bmk,2,0.01166145669492349,local-2.1
1.7,8850.24,100.82,1047.964500174,13064.400000000001,local,atlas-gen-bmk,2,0.011391781465813357,local-1.7
1.4,9420.36,83.4605,1262.301102005,13064.400000000005,local,atlas-gen-bmk,2,0.008859587107074463,local-1.4
2.1,10480.08,158.543,702.167037248,13064.400000000005,local,cms-reco-bmk,3,0.01512803337379104,local-2.1
1.7,8854.06,113.245,1029.750070597,11757.600000000006,local,cms-reco-bmk,3,0.012790177613433838,local-1.7
1.7,8882.93,112.9965,1031.515007955,11757.599999999993,local,cms-reco-bmk,3,0.012720633844913783,local-1.7
2.1,10456.1,159.0045,700.339835328,14367.599999999999,local,cms-reco-bmk,3,0.015206864892263847,local-2.1
